year,title,published_at,updated_at,category,nominee,artist,url,lyrics,workers,img,winner,clean_ver,LyricsClean,sent_scores,comp_score,sentiment
1977,19th Annual GRAMMY Awards  (1976),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Song Of The Year,I Write The Songs,Barry Manilow,https://www.google.com/search?q=I+Write+The+Songs+Barry+Manilow+lyrics,"I've been alive forever
And I wrote the very first song
I put the words and the melodies together
I am music
And I write the songs

I write the songs that make the whole world sing
I write the songs of love and special things
I write the songs that make the young girls cry
I write the songs, I write the songs

My home lies deep within you
And I've got my own place in your soul
Now when I look out through your eyes
I'm young again, even tho' I'm very old

I write the songs that make the whole world sing
I write the songs of love and special things
I write the songs that make the young girls cry
I write the songs, I write the songs

Oh, my music makes you dance and gives you spirit to take a chance
And I wrote some rock 'n roll so you can move
Music fills your heart, well that's a real fine place to start
It's from me, it's for you
It's from you, it's for me
It's a worldwide symphony

I write the songs that make the whole world sing
I write the songs of love and special things
I write the songs that make the young girls cry
I write the songs, I write the songs

I write the songs that make the whole world sing
I write the songs of love and special things
I write the songs that make the young girls cry
I write the songs, I write the songs

I am music and I write the songs","Bruce Johnston, songwriter (Barry Manilow)",,True,ive been alive forever and i wrote the very first song i put the words and the melodies together i am music and i write the songs i write the songs that make the whole world sing i write the songs of love and special things i write the songs that make the young girls cry i write the songs i write the songs my home lies deep within you and ive got my own place in your soul now when i look out through your eyes im young again even tho im very old i write the songs that make the whole world sing i write the songs of love and special things i write the songs that make the young girls cry i write the songs i write the songs oh my music makes you dance and gives you spirit to take a chance and i wrote some rock n roll so you can move music fills your heart well thats a real fine place to start its from me its for you its from you its for me its a worldwide symphony i write the songs that make the whole world sing i write the songs of love and special things i write the songs that make the young girls cry i write the songs i write the songs i write the songs that make the whole world sing i write the songs of love and special things i write the songs that make the young girls cry i write the songs i write the songs i am music and i write the songs,ive been alive forever wrote very first song put words melodies together am music write songs write songs make whole world sing write songs love special things write songs make young girls cry write songs write songs my home lies deep within you ive got my own place your soul now when look out through your eyes im young again even tho im very old write songs make whole world sing write songs love special things write songs make young girls cry write songs write songs my music makes you dance gives you spirit take chance wrote some rock roll so you can move music fills your heart well thats real fine place start its from me its you its from you its me its worldwide symphony write songs make whole world sing write songs love special things write songs make young girls cry write songs write songs write songs make whole world sing write songs love special things write songs make young girls cry write songs write songs am music write songs,"{'neg': 0.073, 'neu': 0.745, 'pos': 0.182, 'compound': 0.9666}",0.9666,Positive
1978,20th Annual GRAMMY Awards  (1977),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Song Of The Year,Love Theme From A Star Is Born (Evergreen),Barbra Streisand,https://www.google.com/search?q=Love+Theme+From+A+Star+Is+Born+(Evergreen)+Barbra+Streisand+lyrics,"Love, soft as an easy chair
Love, fresh as the morning air
One love that is shared by two
I have found with you
Like a rose under the April snow
I was always certain love would grow
Love ageless and evergreen
Seldomly seen by two
You and I will make each night a first
Everyday a beginning
Spirits will rise and their dance is unrehearsed
They warm and excite us
'Cause we have the brightest love
Two lights that shine as one
Morning glory and midnight sun
Time we've learned to sail above
Time won't change the meaning of one love
Ageless and ever, evergreen","Barbra Streisand & Paul Williams, songwriters (Barbra Streisand)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Barbra%2BStreisand/Barbra%2520Streisand_1_1_1597142976.jpg?itok=QWDCDpvy,True,love soft as an easy chair love fresh as the morning air one love that is shared by two i have found with you like a rose under the april snow i was always certain love would grow love ageless and evergreen seldomly seen by two you and i will make each night a first everyday a beginning spirits will rise and their dance is unrehearsed they warm and excite us cause we have the brightest love two lights that shine as one morning glory and midnight sun time weve learned to sail above time wont change the meaning of one love ageless and ever evergreen,love soft easy chair love fresh morning air one love shared two have found you like rose under april snow always certain love would grow love ageless evergreen seldomly seen two you make each night first everyday beginning spirits rise dance unrehearsed warm excite us cause we have brightest love two lights shine one morning glory midnight sun time weve learned sail above time wont change meaning one love ageless ever evergreen,"{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9949}",0.9949,Positive
1978,20th Annual GRAMMY Awards  (1977),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Song Of The Year,You Light Up My Life,Debby Boone,https://www.google.com/search?q=You+Light+Up+My+Life+Debby+Boone+lyrics,"So many nights I'd sit by my window
Waiting for someone to sing me his song
So many dreams I kept deep inside me
Alone in the dark but now you've come along
And you light up my life
You give me hope to carry on
You light up my days and fill my nights with song
Rollin' at sea, adrift on the water
Could it be finally I'm turnin' for home?
Finally a chance to say, ""Hey, I love you""
Never again to be all alone
'Cause you light up my life
You give me hope to carry on
You light up my days and fill my nights with song
'Cause you, you light up my life
You give me hope to carry on
You light up my days and fill my nights with song
It can't be wrong
When it feels so right
'Cause you
You light up my life","Joe Brooks, songwriter (Debby Boone)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Joe%2BBrooks/Joe%2520Brooks_1_1_1581553558.jpg?itok=vDCKGW1h,True,so many nights id sit by my window waiting for someone to sing me his song so many dreams i kept deep inside me alone in the dark but now youve come along and you light up my life you give me hope to carry on you light up my days and fill my nights with song rollin at sea adrift on the water could it be finally im turnin for home finally a chance to say hey i love you never again to be all alone cause you light up my life you give me hope to carry on you light up my days and fill my nights with song cause you you light up my life you give me hope to carry on you light up my days and fill my nights with song it cant be wrong when it feels so right cause you you light up my life,so many nights id sit my window waiting someone sing me his song so many dreams kept deep inside me alone dark now youve come along you light up my life you give me hope carry you light up my days fill my nights song rollin sea adrift water could finally im turnin home finally chance say hey love you never again all alone cause you light up my life you give me hope carry you light up my days fill my nights song cause you you light up my life you give me hope carry you light up my days fill my nights song cant wrong when feels so right cause you you light up my life,"{'neg': 0.03, 'neu': 0.817, 'pos': 0.153, 'compound': 0.9471}",0.9471,Positive
1979,21st Annual GRAMMY Awards  (1978),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Song Of The Year,Just The Way You Are,Billy Joel,https://www.google.com/search?q=Just+The+Way+You+Are+Billy+Joel+lyrics,"Don't go changing to try and please me
You never let me down before, mmm
Don't imagine you're too familiar
And I don't see you anymore
I would not leave you in times of trouble
We never could have come this far, mmm
I took the good times, I'll take the bad times
I'll take you just the way you are
Don't go trying some new fashion
Don't change the color of your hair, mmm
You always have my unspoken passion
Although I might not seem to care
I don't want clever conversation
I never want to work that hard, mmm
I just want someone that I can talk to
I want you just the way you are
I need to know that you will always be
The same old someone that I knew
Oh, but what will it take till you believe in me
The way that I believe in you?
I said I love you, that's forever
And this I promise from the heart, mmm
I couldn't love you any better
I love you just the way you are, right
I don't want clever conversation
I never want to work that hard, mmm
I just want someone that I can talk to
I want you just the way you are","Billy Joel, songwriter (Billy Joel)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Billy%2BJoel/Billy%2520Joel_1_1_1578384978.jpg?itok=QtM7Q8fq,True,dont go changing to try and please me you never let me down before mmm dont imagine youre too familiar and i dont see you anymore i would not leave you in times of trouble we never could have come this far mmm i took the good times ill take the bad times ill take you just the way you are dont go trying some new fashion dont change the color of your hair mmm you always have my unspoken passion although i might not seem to care i dont want clever conversation i never want to work that hard mmm i just want someone that i can talk to i want you just the way you are i need to know that you will always be the same old someone that i knew oh but what will it take till you believe in me the way that i believe in you i said i love you thats forever and this i promise from the heart mmm i couldnt love you any better i love you just the way you are right i dont want clever conversation i never want to work that hard mmm i just want someone that i can talk to i want you just the way you are,dont go changing try please me you never let me down before dont imagine youre too familiar dont see you anymore would leave you times trouble we never could have come far took good times ill take bad times ill take you just way you dont go trying some new fashion dont change color your hair you always have my unspoken passion although might seem care dont want clever conversation never want work hard just want someone can talk want you just way you need know you always same old someone knew what take till you believe me way believe you said love you thats forever promise from heart couldnt love you any better love you just way you right dont want clever conversation never want work hard just want someone can talk want you just way you,"{'neg': 0.162, 'neu': 0.653, 'pos': 0.185, 'compound': 0.9013}",0.9013,Positive
1980,22nd Annual GRAMMY Awards  (1979),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Song Of The Year,What A Fool Believes,The Doobie Brothers,https://www.google.com/search?q=What+A+Fool+Believes+The+Doobie+Brothers+lyrics,"He came from somewhere back in her long ago
The sentimental fool don't see
Tryin' hard to recreate
What had yet to be created once in her life
She musters a smile
For his nostalgic tale
Never coming near what he wanted to say
Only to realize
It never really was

She had a place in his life
He never made her think twice
As he rises to her apology
Anybody else would surely know
He's watching her go

But what a fool believes he sees
No wise man has the power to reason away
What seems to be
Is always better than nothing
And nothing at all keeps sending him...

Somewhere back in her long ago
Where he can still believe there's a place in her life
Someday, somewhere, she will return

She had a place in his life
He never made her think twice
As he rises to her apology
Anybody else would surely know
He's watching her go

But what a fool believes he sees
No wise man has the power to reason away
What seems to be
Is always better than nothing
There's nothing at all
But what a fool believes he sees...","Kenny Loggins & Michael McDonald, songwriters (The Doobie Brothers)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Kenny%2BLoggins/Kenny%2520Loggins_1_1_1575371541.jpg?itok=7npKDoJS,True,he came from somewhere back in her long ago the sentimental fool dont see tryin hard to recreate what had yet to be created once in her life she musters a smile for his nostalgic tale never coming near what he wanted to say only to realize it never really was she had a place in his life he never made her think twice as he rises to her apology anybody else would surely know hes watching her go but what a fool believes he sees no wise man has the power to reason away what seems to be is always better than nothing and nothing at all keeps sending him somewhere back in her long ago where he can still believe theres a place in her life someday somewhere she will return she had a place in his life he never made her think twice as he rises to her apology anybody else would surely know hes watching her go but what a fool believes he sees no wise man has the power to reason away what seems to be is always better than nothing theres nothing at all but what a fool believes he sees,he came from somewhere back her long ago sentimental fool dont see tryin hard recreate what had yet created once her life she musters smile his nostalgic tale never coming near what he wanted say only realize never really she had place his life he never made her think twice he rises her apology anybody else would surely know hes watching her go what fool believes he sees wise man has power reason away what seems always better than nothing nothing all keeps sending him somewhere back her long ago where he can still believe theres place her life someday somewhere she return she had place his life he never made her think twice he rises her apology anybody else would surely know hes watching her go what fool believes he sees wise man has power reason away what seems always better than nothing theres nothing all what fool believes he sees,"{'neg': 0.066, 'neu': 0.773, 'pos': 0.161, 'compound': 0.9135}",0.9135,Positive
1981,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Song Of The Year,Sailing,Christopher Cross,https://www.google.com/search?q=Sailing+Christopher+Cross+lyrics,"Well, it's not far down to paradise
At least it's not for me
And if the wind is right you can sail away
And find tranquility
Oh, the canvas can do miracles
Just you wait and see, believe me
It's not far to never never land
No reason to pretend
And if the wind is right you can find the joy
Of innocence again
Oh, the canvas can do miracles
Just you wait and see, believe me
Sailing
Takes me away to where I've always heard it could be
Just a dream and the wind to carry me
Soon I will be free
Fantasy
It gets the best of me
When I'm sailing
All caught up in the reverie
Every word is a symphony
Won't you believe me?
Sailing
Takes me away to where I've always heard it could be
Just a dream and the wind to carry me
And soon I will be free
Well, it's not far back to sanity
At least it's not for me
And if the wind is right you can sail away
And find serenity
Oh, the canvas can do miracles
Just you wait and see, really, believe me
Sailing
Takes me away to where I've always heard it could be
Just a dream and the wind to carry me
And soon I will be free","Christopher Cross, songwriter (Christopher Cross)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Christopher%2BCross/Christopher%2520Cross_1_1_1581554585.jpg?itok=sDilUxBw,True,well its not far down to paradise at least its not for me and if the wind is right you can sail away and find tranquility oh the canvas can do miracles just you wait and see believe me its not far to never never land no reason to pretend and if the wind is right you can find the joy of innocence again oh the canvas can do miracles just you wait and see believe me sailing takes me away to where ive always heard it could be just a dream and the wind to carry me soon i will be free fantasy it gets the best of me when im sailing all caught up in the reverie every word is a symphony wont you believe me sailing takes me away to where ive always heard it could be just a dream and the wind to carry me and soon i will be free well its not far back to sanity at least its not for me and if the wind is right you can sail away and find serenity oh the canvas can do miracles just you wait and see really believe me sailing takes me away to where ive always heard it could be just a dream and the wind to carry me and soon i will be free,well its far down paradise least its me wind right you can sail away find tranquility canvas can do miracles just you wait see believe me its far never never land reason pretend wind right you can find joy innocence again canvas can do miracles just you wait see believe me sailing takes me away where ive always heard could just dream wind carry me soon free fantasy gets best me when im sailing all caught up reverie every word symphony wont you believe me sailing takes me away where ive always heard could just dream wind carry me soon free well its far back sanity least its me wind right you can sail away find serenity canvas can do miracles just you wait see really believe me sailing takes me away where ive always heard could just dream wind carry me soon free,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9882}",0.9882,Positive
1982,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Song Of The Year,Bette Davis Eyes,Kim Carnes,https://www.google.com/search?q=Bette+Davis+Eyes+Kim+Carnes+lyrics,"Her hair is Harlow gold
Her lips a sweet surprise
Her hands are never cold
She's got Bette Davis eyes
She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes
And she'll tease you, she'll unease you
All the better just to please you
She's precocious, and she knows just what it
Takes to make a pro blush
She got Greta Garbo's standoff sighs, she's got Bette Davis eyes
She'll let you take her home
It whets her appetite
She'll lay you on a throne
She got Bette Davis eyes
She'll take a tumble on you
Roll you like you were dice
Until you come out blue
She's got Bette Davis eyes
She'll expose you, when she snows you
Offer feed with the crumbs she throws you
She's ferocious and she knows just what it
Takes to make a pro blush
All the boys think she's a spy, she's got Bette Davis eyes
She'll tease you, she'll unease you
All the better just to please you
She's precocious, and she knows just what it
Takes to make a pro blush
All the boys think she's a spy, she's got Bette Davis eyes
She'll tease you
She'll unease you
Just to please you
She's got Bette Davis eyes
She'll expose you
When she snows you
'Cause she knows you, she's got Bette Davis Eyes
She'll tease you","Jackie DeShannon & Donna Weiss, songwriters (Kim Carnes)",,True,her hair is harlow gold her lips a sweet surprise her hands are never cold shes got bette davis eyes shell turn her music on you you wont have to think twice shes pure as new york snow she got bette davis eyes and shell tease you shell unease you all the better just to please you shes precocious and she knows just what it takes to make a pro blush she got greta garbos standoff sighs shes got bette davis eyes shell let you take her home it whets her appetite shell lay you on a throne she got bette davis eyes shell take a tumble on you roll you like you were dice until you come out blue shes got bette davis eyes shell expose you when she snows you offer feed with the crumbs she throws you shes ferocious and she knows just what it takes to make a pro blush all the boys think shes a spy shes got bette davis eyes shell tease you shell unease you all the better just to please you shes precocious and she knows just what it takes to make a pro blush all the boys think shes a spy shes got bette davis eyes shell tease you shell unease you just to please you shes got bette davis eyes shell expose you when she snows you cause she knows you shes got bette davis eyes shell tease you,her hair harlow gold her lips sweet surprise her hands never cold shes got bette davis eyes shell turn her music you you wont have think twice shes pure new york snow she got bette davis eyes shell tease you shell unease you all better just please you shes precocious she knows just what takes make pro blush she got greta garbos standoff sighs shes got bette davis eyes shell let you take her home whets her appetite shell lay you throne she got bette davis eyes shell take tumble you roll you like you were dice until you come out blue shes got bette davis eyes shell expose you when she snows you offer feed crumbs she throws you shes ferocious she knows just what takes make pro blush all boys think shes spy shes got bette davis eyes shell tease you shell unease you all better just please you shes precocious she knows just what takes make pro blush all boys think shes spy shes got bette davis eyes shell tease you shell unease you just please you shes got bette davis eyes shell expose you when she snows you cause she knows you shes got bette davis eyes shell tease you,"{'neg': 0.096, 'neu': 0.815, 'pos': 0.089, 'compound': 0.1027}",0.1027,Neutral
1983,25th Annual GRAMMY Awards  (1982),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Song Of The Year,Always On My Mind,Willie Nelson,https://www.google.com/search?q=Always+On+My+Mind+Willie+Nelson+lyrics,"Maybe I didn't love you
Quite as often as I could have
Maybe I didn't treat you
Quite as good as I should have
If I made you feel, oh, second best (you did, you did)
Girl, I'm sorry I was blind
You were always on my mind
You were always on my mind
Maybe I didn't hold you
All those lonely, lonely times
And I guess I never told you
I'm so happy that you're mine
Little things I should have said and done
I just never took the time
When you were always on my mind
You were always on my mind
Tell me
Tell me that your sweet love hasn't died
And give me
Give me one more chance to keep you satisfied
I'll keep you satisfied
Little things I should have said and done
I just never took the time
But you were always on my mind (you were always on my mind)
You were always on my mind
You were always on my mind (you were always on my mind)
You were always on my mind","Wayne Carson, Johnny Christopher & Mark James, songwriters (Willie Nelson)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Mark%2BJames/Mark%2520James_1_1_1581630216.jpg?itok=hvqzhn-A,True,maybe i didnt love you quite as often as i could have maybe i didnt treat you quite as good as i should have if i made you feel oh second best girl im sorry i was blind you were always on my mind you were always on my mind maybe i didnt hold you all those lonely lonely times and i guess i never told you im so happy that youre mine little things i should have said and done i just never took the time when you were always on my mind you were always on my mind tell me tell me that your sweet love hasnt died and give me give me one more chance to keep you satisfied ill keep you satisfied little things i should have said and done i just never took the time but you were always on my mind you were always on my mind you were always on my mind you were always on my mind,maybe didnt love you quite often could have maybe didnt treat you quite good should have made you feel second best girl im sorry blind you were always my mind you were always my mind maybe didnt hold you all those lonely lonely times guess never told you im so happy youre mine little things should have said done just never took time when you were always my mind you were always my mind tell me tell me your sweet love hasnt died give me give me one more chance keep you satisfied ill keep you satisfied little things should have said done just never took time you were always my mind you were always my mind you were always my mind you were always my mind,"{'neg': 0.132, 'neu': 0.704, 'pos': 0.165, 'compound': 0.7996}",0.7996,Positive
1984,26th Annual GRAMMY Awards  (1983),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Song Of The Year,Every Breath You Take,The Police,https://www.google.com/search?q=Every+Breath+You+Take+The+Police+lyrics,"Every breath you take and every move you make
Every bond you break, every step you take, I'll be watching you
Every single day and every word you say
Every game you play, every night you stay, I'll be watching you

Oh, can't you see you belong to me
How my poor heart aches with every step you take

Every move you make, every vow you break
Every smile you fake, every claim you stake, I'll be watching you

Since you've gone I've been lost without a trace
I dream at night, I can only see your face
I look around but it's you I can't replace
I feel so cold and I long for your embrace
I keep crying, ""Baby, baby, please""

Oh, can't you see you belong to me
How my poor heart aches with every step you take

Every move you make and every vow you break
Every smile you fake, every claim you stake, I'll be watching you
Every move you make, every step you take, I'll be watching you

I'll be watching you
Every breath you take and every move you make
Every bond you break, every step you take (I'll be watching you)
Every single day and every word you say
Every game you play, every night you stay (I'll be watching you)
Every move you make, every vow you break
Every smile you fake, every claim you stake (I'll be watching you)
Every single day and every word you say
Every game you play, every night you stay (I'll be watching you)

Every breath you take and every move you make
Every bond you break, every step you take (I'll be watching you)
Every single day and every word you say
Every game you play, every night you stay (I'll be watching you)
Every move you make, every vow you break
Every smile you fake, every claim you stake (I'll be watching you)
Every single day and every word you say
Every game you play, every night you stay (I'll be watching you)","Sting, songwriter (The Police)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Sting/Sting_1_1_1578385091.jpg?itok=W4VkSShX,True,every breath you take and every move you make every bond you break every step you take ill be watching you every single day and every word you say every game you play every night you stay ill be watching you oh cant you see you belong to me how my poor heart aches with every step you take every move you make every vow you break every smile you fake every claim you stake ill be watching you since youve gone ive been lost without a trace i dream at night i can only see your face i look around but its you i cant replace i feel so cold and i long for your embrace i keep crying baby baby please oh cant you see you belong to me how my poor heart aches with every step you take every move you make and every vow you break every smile you fake every claim you stake ill be watching you every move you make every step you take ill be watching you ill be watching you every breath you take and every move you make every bond you break every step you take every single day and every word you say every game you play every night you stay every move you make every vow you break every smile you fake every claim you stake every single day and every word you say every game you play every night you stay every breath you take and every move you make every bond you break every step you take every single day and every word you say every game you play every night you stay every move you make every vow you break every smile you fake every claim you stake every single day and every word you say every game you play every night you stay ,every breath you take every move you make every bond you break every step you take ill watching you every single day every word you say every game you play every night you stay ill watching you cant you see you belong me how my poor heart aches every step you take every move you make every vow you break every smile you fake every claim you stake ill watching you since youve gone ive been lost without trace dream night can only see your face look around its you cant replace feel so cold long your embrace keep crying baby baby please cant you see you belong me how my poor heart aches every step you take every move you make every vow you break every smile you fake every claim you stake ill watching you every move you make every step you take ill watching you ill watching you every breath you take every move you make every bond you break every step you take every single day every word you say every game you play every night you stay every move you make every vow you break every smile you fake every claim you stake every single day every word you say every game you play every night you stay every breath you take every move you make every bond you break every step you take every single day every word you say every game you play every night you stay every move you make every vow you break every smile you fake every claim you stake every single day every word you say every game you play every night you stay,"{'neg': 0.145, 'neu': 0.772, 'pos': 0.083, 'compound': -0.9635}",-0.9635,Negative
1985,27th Annual GRAMMY Awards  (1984),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Song Of The Year,What's Love Got To Do With It,Tina Turner,https://www.google.com/search?q=What's+Love+Got+To+Do+With+It+Tina+Turner+lyrics,"You must understand, though the touch of your hand makes my pulse react
That it's only the thrill of boy meeting girl, opposites attract
It's physical
Only logical
You must try to ignore that it means more than that
Oh-oh-oh, what's love got to do, got to do with it?
What's love, but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
It may seem to you that I'm acting confused when you're close to me
If I tend to look dazed, I read it some place, I got cause to be
There's a name for it
There's a phrase that fits
But whatever the reason, you do it for me
Oh-oh-oh, what's love got to do, got to do with it?
What's love, but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
Who?
I've been taking on a new direction
But I have to say
I've been thinking about my own protection
It scares me to feel this way
Oh-oh-oh, what's love got to do, got to do with it?
What's love, but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
got to do, got to do with it?
What's love, but a sweet old-fashioned notion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
ooh, got to do with it?
(What's love? A second-hand emotion)
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
(What's love) ooh-ooh (got to do with it?) got to do with it?","Terry Britten & Graham Lyle, songwriters (Tina Turner)",,True,you must understand though the touch of your hand makes my pulse react that its only the thrill of boy meeting girl opposites attract its physical only logical you must try to ignore that it means more than that ohohoh whats love got to do got to do with it whats love but a secondhand emotion whats love got to do got to do with it who needs a heart when a heart can be broken it may seem to you that im acting confused when youre close to me if i tend to look dazed i read it some place i got cause to be theres a name for it theres a phrase that fits but whatever the reason you do it for me ohohoh whats love got to do got to do with it whats love but a secondhand emotion whats love got to do got to do with it who needs a heart when a heart can be broken who ive been taking on a new direction but i have to say ive been thinking about my own protection it scares me to feel this way ohohoh whats love got to do got to do with it whats love but a secondhand emotion whats love got to do got to do with it who needs a heart when a heart can be broken got to do got to do with it whats love but a sweet oldfashioned notion whats love got to do got to do with it who needs a heart when a heart can be broken ooh got to do with it whats love got to do got to do with it who needs a heart when a heart can be broken oohooh got to do with it,you must understand though touch your hand makes my pulse react its only thrill boy meeting girl opposites attract its physical only logical you must try ignore means more than ohohoh whats love got do got do whats love secondhand emotion whats love got do got do who needs heart when heart can broken may seem you im acting confused when youre close me tend look dazed read some place got cause theres name theres phrase fits whatever reason you do me ohohoh whats love got do got do whats love secondhand emotion whats love got do got do who needs heart when heart can broken who ive been taking new direction have say ive been thinking about my own protection scares me feel way ohohoh whats love got do got do whats love secondhand emotion whats love got do got do who needs heart when heart can broken got do got do whats love sweet oldfashioned notion whats love got do got do who needs heart when heart can broken ooh got do whats love got do got do who needs heart when heart can broken oohooh got do,"{'neg': 0.097, 'neu': 0.657, 'pos': 0.245, 'compound': 0.9919}",0.9919,Positive
